sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
198 , 2023-07-05 10:13:38.864252 , 0 , 0 , 22 , 24
199 , 2023-07-05 10:13:43.505616 , 0 , 0 , 22 , 24
200 , 2023-07-05 10:13:48.978462 , 1 , 0 , 23 , 24
201 , 2023-07-05 10:13:54.284939 , 0 , 0 , 23 , 24
202 , 2023-07-05 10:13:59.883196 , 0 , 0 , 23 , 24
203 , 2023-07-05 10:14:05.147667 , 1 , 0 , 24 , 24
204 , 2023-07-05 10:14:10.743076 , 0 , 0 , 24 , 24
205 , 2023-07-05 10:14:16.334604 , 0 , 0 , 24 , 24
206 , 2023-07-05 10:14:21.847788 , 0 , 0 , 24 , 24
207 , 2023-07-05 10:14:27.599919 , 0 , 0 , 24 , 24
208 , 2023-07-05 10:14:34.420291 , 0 , 0 , 24 , 24
209 , 2023-07-05 10:14:39.345717 , 0 , 2 , 24 , 26
210 , 2023-07-05 10:14:43.923608 , 0 , 0 , 24 , 26
211 , 2023-07-05 10:14:48.257469 , 0 , 0 , 24 , 26
212 , 2023-07-05 10:14:52.608710 , 0 , 1 , 24 , 27
213 , 2023-07-05 10:14:56.946323 , 0 , 1 , 24 , 28
214 , 2023-07-05 10:15:01.365209 , 0 , 0 , 24 , 28
215 , 2023-07-05 10:15:06.197094 , 0 , 1 , 24 , 29
216 , 2023-07-05 10:15:11.355980 , 0 , 0 , 24 , 29
217 , 2023-07-05 10:15:16.823099 , 0 , 0 , 24 , 29
218 , 2023-07-05 10:15:21.902955 , 0 , 0 , 24 , 29
219 , 2023-07-05 10:15:28.856444 , 1 , 0 , 25 , 29
220 , 2023-07-05 10:15:33.475957 , 0 , 0 , 25 , 29
221 , 2023-07-05 10:15:38.202548 , 0 , 0 , 25 , 29
222 , 2023-07-05 10:15:42.576267 , 0 , 1 , 25 , 30
223 , 2023-07-05 10:15:47.153650 , 0 , 0 , 25 , 30
224 , 2023-07-05 10:15:52.119043 , 1 , 0 , 26 , 30
225 , 2023-07-05 10:15:57.226375 , 0 , 0 , 26 , 30
226 , 2023-07-05 10:16:01.834076 , 0 , 0 , 26 , 30
227 , 2023-07-05 10:16:06.350534 , 0 , 0 , 26 , 30
228 , 2023-07-05 10:16:10.858274 , 0 , 0 , 26 , 30
229 , 2023-07-05 10:16:15.652972 , 0 , 0 , 26 , 30
230 , 2023-07-05 10:16:20.537934 , 0 , 0 , 26 , 30
231 , 2023-07-05 10:16:25.428293 , 0 , 2 , 26 , 32
232 , 2023-07-05 10:16:30.490846 , 0 , 0 , 26 , 32
233 , 2023-07-05 10:16:35.335150 , 0 , 1 , 26 , 33
234 , 2023-07-05 10:16:41.618188 , 0 , 0 , 26 , 33
235 , 2023-07-05 10:16:45.915380 , 0 , 0 , 26 , 33
236 , 2023-07-05 10:16:50.226559 , 0 , 1 , 26 , 34
237 , 2023-07-05 10:16:54.529709 , 0 , 0 , 26 , 34
238 , 2023-07-05 10:16:58.876522 , 0 , 2 , 26 , 36
239 , 2023-07-05 10:17:03.316324 , 0 , 2 , 26 , 38
240 , 2023-07-05 10:17:07.810526 , 0 , 1 , 26 , 39
241 , 2023-07-05 10:17:12.528985 , 0 , 0 , 26 , 39
242 , 2023-07-05 10:17:17.748712 , 0 , 0 , 26 , 39
243 , 2023-07-05 10:17:23.492836 , 0 , 1 , 26 , 40
244 , 2023-07-05 10:17:28.757771 , 0 , 0 , 26 , 40
245 , 2023-07-05 10:17:35.011846 , 0 , 0 , 26 , 40
246 , 2023-07-05 10:17:39.632611 , 0 , 0 , 26 , 40
247 , 2023-07-05 10:17:44.298462 , 0 , 0 , 26 , 40
248 , 2023-07-05 10:17:48.863528 , 0 , 0 , 26 , 40
249 , 2023-07-05 10:17:53.071254 , 0 , 0 , 26 , 40
250 , 2023-07-05 10:17:57.300619 , 0 , 0 , 26 , 40
251 , 2023-07-05 10:18:01.468474 , 0 , 0 , 26 , 40
252 , 2023-07-05 10:18:05.616312 , 0 , 0 , 26 , 40
253 , 2023-07-05 10:18:09.793205 , 0 , 1 , 26 , 41
254 , 2023-07-05 10:18:13.983211 , 0 , 3 , 26 , 44
255 , 2023-07-05 10:18:18.208217 , 0 , 1 , 26 , 45
